league_id,queue_type,tier,rank,summoner_id,league_points,wins,losses,veteran,inactive,fresh_blood,hot_streak,retrieval_time
9eeaffb4-b6bc-4cc7-a2f1-8db7ebde63c0,RANKED_SOLO_5x5,GOLD,I,__jjqHjcwKo5a0aE8kKG0YQm-YSBJJ6Y0nkiG7tY6VXb5nNL,62,2,5,0,0,0,0,2024-09-05 04:44:37
7024cbfe-e573-445b-8c4c-9812b2d5a276,RANKED_SOLO_5x5,GOLD,I,__xDFd1kZUVRPTyAxKva6K7wxKSSySOQrxbnLXGlORtAhOU,65,4,4,0,0,0,0,2024-09-05 02:42:51
6b41ebfd-bfe0-40a1-be2d-6dc53d5e737e,RANKED_SOLO_5x5,GOLD,IV,_-1KSiK10tBJ1A1CUz2sR8MhQZfx2zEyqDNHPj0oyUp0oR6a,37,19,26,0,0,0,0,2024-09-05 00:35:06
32b86eee-5867-490a-a4f1-97d0f0ccf503,RANKED_SOLO_5x5,GOLD,I,_-nah1RylUfbEA6sLNliLNPeOUE4AURAxhitiTMYbUPlToEmeiq2jtFOxA,81,7,0,0,0,0,1,2024-09-05 02:42:51
526b975c-83f7-4827-8aa3-e704316597c1,RANKED_SOLO_5x5,GOLD,II,_-W8LreB2aP7IWEr8ZNkZ-DoxmPpElvtgrB5QDwwX1MupWnf,22,5,10,0,0,0,0,2024-09-05 04:44:46
8369d562-066d-49b0-8de6-0b5202b19152,RANKED_SOLO_5x5,GOLD,III,_-WAd8MlReczz7r0hx_W6v6o4ay_W2auXaTcvmM3qrJ8rg9R,94,25,16,0,0,0,0,2024-09-05 04:44:56
fdb5b8c2-c551-4e17-901e-1f383b35ef5c,RANKED_SOLO_5x5,GOLD,III,_0eVSJq9KObnuAp3eEt7tSMZH2i8fjpQ6g9y0fQTtockxmPz,45,5,2,0,0,0,1,2024-09-05 04:45:03
1bd80677-2be5-4f39-b423-89c803980a41,RANKED_SOLO_5x5,GOLD,I,_1iTC6SQFB-mQBvHCWYlUW-EdLuJ46ENs1ZOjqMwO6pn-CPuD7NouA8gEg,42,21,18,0,0,0,0,2024-09-05 02:42:51
ea2b4e29-59cb-47d9-a7f9-bb8289e773b8,RANKED_SOLO_5x5,GOLD,IV,_1wCXrgVu40feJj3q_VDBrnBrE06h8WC4DG6FKwtl9CrSEl1,26,35,5,0,0,0,1,2024-09-05 04:45:11
06aa4726-4be8-4bb8-bb1b-9c5b9438d48a,RANKED_SOLO_5x5,GOLD,IV,_2ymSgNRHwl_kPAPZhMfJVq33BcNUpGLtsQWhoGGar-u0IH2,0,6,12,0,0,0,0,2024-09-04 19:32:09
3d391120-cbd9-4242-9791-89320034fdfa,RANKED_SOLO_5x5,GOLD,IV,_30aBipvO3o9AyGQf0pn1Q8I_ZS20-YlYjgFo0TMnEnH0rJ9,32,6,4,0,0,0,0,2024-09-05 04:45:11
fdffbf44-1110-4f88-a395-766c56f0c6b8,RANKED_SOLO_5x5,GOLD,IV,_3EMatKLCIBHjIoW-UUMFvIJSuIvGTb_bkMn55ftuw02KiPa,50,58,49,0,0,0,0,2024-09-05 04:45:11
039fe3f1-6a53-4f23-8500-5a962efb8013,RANKED_SOLO_5x5,GOLD,IV,_52J4OIllnK7CN8L3JFh5CT3cesM0BWQpadt87X79WYhvVn_,0,11,17,0,0,0,0,2024-09-05 01:17:53
2e19eab8-e776-4ba2-a2be-a3267f4b0f0b,RANKED_SOLO_5x5,GOLD,III,_56gp0ZoA00_EvQMTb_PAySrxHlk9nuEXNBa-XBW4enNDdc,51,5,1,0,0,0,0,2024-09-05 02:42:55
9d0289fd-ad6a-431a-9039-799adca22d6f,RANKED_SOLO_5x5,GOLD,II,_5BZMxFgvJPHT5O3d3OpemrqsElWZ3o1W20kJzvC1CPL2k2k,85,95,72,0,0,1,0,2024-09-05 04:44:49
a7f0894c-7e65-4b36-9198-37c788ecb924,RANKED_SOLO_5x5,GOLD,II,_5JjFHW-9fU5Nxvgj1ohjsTaRz0jyEJyuLdMrka1KN7gZzYY,34,1,5,0,0,0,0,2024-09-04 19:31:57
e672e27b-1a82-45f7-868c-d68d76b55d39,RANKED_SOLO_5x5,GOLD,II,_6ffDMBbdoDFUPSInOM1f9EpYYvEP502-q7J9X6bd5YimM2H,89,11,8,0,0,0,1,2024-09-05 04:44:44
fa380e8c-4dcd-4cba-ad6a-76ae0ce49320,RANKED_SOLO_5x5,GOLD,IV,_8D10NuVA1UOdbEQKQtiIqORJIQ8PlwB57HzMsB2OeYyvcKu,76,5,1,0,0,0,0,2024-09-05 04:45:11
82301af6-3358-474d-8dcb-5da8f748c9c2,RANKED_SOLO_5x5,GOLD,IV,_8J2IuOWQ4NfLjTKUzEPILYoQyqcLxJ1ilNkCB6ExnYAlFJF,0,11,13,0,0,0,0,2024-09-05 04:45:08
da00edde-60bc-4b2e-927f-7eadaa4d4a04,RANKED_SOLO_5x5,GOLD,IV,_9-m1dUb6Y7qkOoLfFHZepiPkHR9SXYBLYCanL_Pujl8HYW1,35,185,175,0,0,1,0,2024-09-05 02:02:26
702763b1-1d29-4955-87e1-4e99c6473348,RANKED_SOLO_5x5,GOLD,IV,_9pux9FYuBUhVQWd-e_eeGbY0s4Y2UilYS_S3TUTOZ8jqG71,24,187,191,0,0,0,0,2024-09-05 02:02:26
afc90833-180f-49c4-a14f-30c2a462e1a6,RANKED_SOLO_5x5,GOLD,I,_Aws3FqsKUvmt-WmgRdvj5bI02NdVBtVxTmMHAf3RHgrsuVogVsm48OROw,17,16,15,0,0,0,0,2024-09-05 02:42:51
fbd8c01e-a1b7-4d33-bbb7-20a6d5770816,RANKED_SOLO_5x5,GOLD,IV,_B-KQkxbLmF54dLe8WSvgMl_K6y5JFYvLwRSOGTJuKviTXCM,99,16,16,0,0,0,0,2024-09-05 00:35:06
b45aa83a-4e8c-43ef-bc9f-a28434be52d5,RANKED_SOLO_5x5,GOLD,III,_bd6iTYi6ZN66qpceHx5Num7JmpPZYGr48PNyP--8S-OiPY,9,60,71,0,0,0,0,2024-09-05 00:35:04
87da4522-d96a-49b3-8302-81bc6e33b9ff,RANKED_SOLO_5x5,GOLD,III,_bDJQuFJnrdr-qNiWbrPPcHAZGnPx2hOax4EE31hWfN9WB4_,28,64,80,0,0,0,0,2024-09-04 19:32:04
