summoner_id,account_id,puuid,profile_icon_id,revision_date,summoner_level
__jjqHjcwKo5a0aE8kKG0YQm-YSBJJ6Y0nkiG7tY6VXb5nNL,5gSa5SPAubpLzh0yVD-xaBwT5kS5c-a7BMxWR-uJWn4dYF1fjHEXD0iU,DgI9Q0wbOYhvfAAViR9qffRhTCe8HdW4fL2v_HQ1TAcHrncDPI2eQ-Dc4VLma79j2nFYUkDC_3F1Fw,4834,1722488638000,41
__xDFd1kZUVRPTyAxKva6K7wxKSSySOQrxbnLXGlORtAhOU,XSGaPKakuZHj1VdpmfPp4ExyB1ybfFr5lQUPSMh5R1XuWQ,8AwbYwK3VvKk2_RtGM1gTdANRkhoCcuSRu-NWyXTbLEzPlHZBEVU8wPjExt1Ro88Z0i_HQuHb-UTtA,4655,1725413371000,262
_-1KSiK10tBJ1A1CUz2sR8MhQZfx2zEyqDNHPj0oyUp0oR6a,7-vQhn9s8DLBjTYUSdEwy30sVOGuLMHxde5N4PJNk5J6txUFUExrk9Un,tqNV7AH8cZRohaxK2TG6JECflKvvDHdCh22iE52LtAwbDbxlUEfwqEQkpsQWp9MiMRmIB6DjyxpLMg,6296,1724214034000,95
_-nah1RylUfbEA6sLNliLNPeOUE4AURAxhitiTMYbUPlToEmeiq2jtFOxA,BWirDA4voxt_N_QgIpBMQ2YhaSnlyHhoUMvPSnBhysFQ8VleIrJ9inJy,Psiud1kJ9k-KmEgy9ua9afLOgz0RLHr_u-pL3wFQ-LCC9LYUysOcrMznLBAMFulm28ETJs97cpNAaQ,27,1724990352000,33
_-W8LreB2aP7IWEr8ZNkZ-DoxmPpElvtgrB5QDwwX1MupWnf,6n6iLj6O4gpa_fCbNb2n0KVdeGvoaTE3S1cntJrfd-Wje-xqqJhclsmj,eRbbvX41pkkfQyQWMc7cYuwoP9PIgrNRzLn44Q4QbSZLnidRZGzQCaTgfri-powyZ6dyOHdyApPsgg,4589,1723848302000,91
_-WAd8MlReczz7r0hx_W6v6o4ay_W2auXaTcvmM3qrJ8rg9R,79aYRZj99cP7nNJPsMeVpW9HffzPym4dbKHlE68KTGHYW7coSDeZIcmW,YHOQNLgs37U3StIbCX99ayiOP2Ul7spkIvCtfLFVa-OPKSRKGyVdYGs5KBqjZcdxTMD2Vx7_2kcxCg,7,1723776223000,45
_0eVSJq9KObnuAp3eEt7tSMZH2i8fjpQ6g9y0fQTtockxmPz,FvqjLYMo7pR7IiQIoDHQzec9XXAwjh58G926TzzyueMfOKj0Ngm01CC3,ykMSdpvn7IPl_H5bfvtv1y3OjVtMCrwnColjpuXQ0yXhwqagEnDiqyhUrY2resaXOSqHnjBvBEFhQw,6100,1725489320740,838
_1iTC6SQFB-mQBvHCWYlUW-EdLuJ46ENs1ZOjqMwO6pn-CPuD7NouA8gEg,-QF-uxrzgEcNIdeK_5EjAAVXjCb5uaeynXq6nZtIbgxIMUASDkV-4xtg,ezCpI4N6QqBs2Ft__XUnG80TvnPdM4T49J-Kcc2rkwXe6AQhAKcon8S15kZns6_yD6nytB4t4g6FGw,3862,1725432837034,451
_1wCXrgVu40feJj3q_VDBrnBrE06h8WC4DG6FKwtl9CrSEl1,q4dI0uoLtkJlS2vH3jAd-eXhjUnufxBZVvnVtmlPX7AeREPX567Gtgm7,dm1Mvd0de6LxWVibUg6mBG1_DbJnMOuk4BxiWD8SalQ7zK7ka9kNll8tl2lFYo8WU2AZKUj-GT3GTA,5469,1725249931000,591
_2ymSgNRHwl_kPAPZhMfJVq33BcNUpGLtsQWhoGGar-u0IH2,LB8n6PGTKUecSyrUCV0rzB44QqJI1IxjPToIRrg2vcQV-iQPW8OgUWO5,0S2pHoFrVHu29-uAB88Bh3i6KyuRL6dMxuUDrrs5MloYjVePciJke4G93aaRhNdpOxUAlk8NS73xGg,6296,1723861085000,455
_30aBipvO3o9AyGQf0pn1Q8I_ZS20-YlYjgFo0TMnEnH0rJ9,3w8HY9EF6vEvU1wPpnx8piLh9DvBFF8WbP7bxllPS8ZTmVzEWmNRLFn6,lkC379QtoVzaAN0wwwzgtqsb3h9u8Dz7z49yA4jZuhn816kb7S3hWrckLLvePGDAA3M9JxbvYgt0mA,1393,1725509015729,338
_3EMatKLCIBHjIoW-UUMFvIJSuIvGTb_bkMn55ftuw02KiPa,s0mqlGapoTZonguEL9DzVt0ph_RZevc5q5MyDBU67H6gzHy8UyRN4jZx,eWNTTU0KZBBaP9ccoIYRBKICRfOVIht4gyUKnRbL5VZ0nx7g3IcQn5xB7iXggYYqfj4ebtt_L1bDqg,6015,1725496523001,331
_52J4OIllnK7CN8L3JFh5CT3cesM0BWQpadt87X79WYhvVn_,nZo6dlYHrPKd5o3VLG-i0u6FceanSLqmA01FLDnRuvjF8Cdd_-4YhmSk,p4t7SpBxwDIi3JyMw2fOlWqjYF6q8rkmH_n9xh-xcevO7YTvU5WsBmKhOrGxBg7wzQEljr36-8-fCQ,4881,1725490977158,61
_56gp0ZoA00_EvQMTb_PAySrxHlk9nuEXNBa-XBW4enNDdc,Zjcg8XyiKBH7VsBZaY5XLnwS3vm6Sr070pHDXFKondWhkg,CYNNJ4-HYevxaZfj1Sg3-6qLsDG2TKFnRthL5bqwUCKOjrm7flYRSfHjoeV2zOCrmCcLHtnHjw7ZjA,593,1724734367000,159
_5BZMxFgvJPHT5O3d3OpemrqsElWZ3o1W20kJzvC1CPL2k2k,6_Hdm9tyuJxWeaD6f5ggzNv9yJAz2cRMATwAv5QenAeF5MyhEQ6fQL79,beE1MgUDU5cdLSZ1UUOkP7L9jAg1Dv0k_ryfAhLnBX7AVTu3UcHIaY-PdFW-olBJmp1vZrg1i3H2PQ,6661,1725510861952,139
