league_id,queue_type,tier,rank,summoner_id,league_points,wins,losses,veteran,inactive,fresh_blood,hot_streak
71e2cc57-96f0-4c32-a9a6-a247d322eaf5,RANKED_SOLO_5x5,GOLD,II,27e3ppC2YX1YRomMgqPJv3cUmkARZsKL4d-yzlNE0IdIVhqJ,58,63,56,False,False,False,False
fd0855a0-a828-45a0-ad99-32aa96d8bf10,RANKED_SOLO_5x5,GOLD,II,nFFrCc4_nwS5Nh0Vrm1ouF8SKf_6kOvbhlXk5zTTBE_nEOAI,0,0,5,False,False,False,False
75bb654e-0516-4de6-aa10-bf48bc378f8f,RANKED_SOLO_5x5,GOLD,II,wwpgOwaMA2bAKt0kS1f4qDdwyjYnTh8eO9rY-pJBBp-LJQfs,74,22,18,False,False,False,False
3becfc0f-c27e-4311-95ac-94d09932fd01,RANKED_SOLO_5x5,GOLD,II,Cku1lrcFKLTrqUhJDo7jJXEWeQ5YsUlr9TfXXOdOiT5glaYl,52,6,3,False,False,False,False
2610e86e-1f23-411f-8cc7-82856ebf934a,RANKED_SOLO_5x5,GOLD,II,hKEZK0BcRbZuKi_jDw8vHAJMuybJAOBoH1Km5Tk5BNilKktl,67,69,73,False,False,False,False
f529cf08-be3b-4c72-a57a-9ba1d6f66513,RANKED_SOLO_5x5,GOLD,II,8yBQ_b7JxiqeeCq4CINogm_ROqtlJHp1vA5e7FIL1UTTdUca,34,17,3,False,False,False,False
34bd5cf8-47da-44d3-8d73-a40eaddf54cc,RANKED_SOLO_5x5,GOLD,II,Cp2DHLhkci3X5Lo65oMJ7nLQj7bYOeElMHgR2H9oyt_8c_tu,85,7,4,False,False,False,False
8a6e3a92-f321-4ae5-b47f-b65f1154b0f3,RANKED_SOLO_5x5,GOLD,II,zxbFxhe817HjdlH1eA9MqU7a_XHsbVcVe5-eQgY3FECaE2E1,12,35,18,False,False,False,True
753c41d8-ea4b-4607-a867-31c689cd78e4,RANKED_SOLO_5x5,GOLD,II,YkYnpy9AyVceonmHyNZTzxK1SCIcxdD2B5qto3n_hW8J1yC9,72,36,7,False,False,False,False
aa96bfa0-dbd5-4a7c-8a43-149fec2a7a01,RANKED_SOLO_5x5,GOLD,II,SZ26mcU8S2tADQ_VJ_ZUux9t8oKXB7NU9Spd2YkcPVMSxORE,80,14,16,False,False,False,False
9aea4a65-0b47-49c0-99fe-d6f804540292,RANKED_SOLO_5x5,GOLD,II,rAo605YYa1ik5mhP35awnP8_Dtaumm1LuyUHAgAZGPMe5H7r,39,15,9,False,False,False,False
f3b08eba-bae4-47d9-8bb3-036df7b8a1d4,RANKED_SOLO_5x5,GOLD,II,wcVvzr9oqDkYAyBwiuhkSgrb2n1mSBuTy8f8N00pnoEnLtop,91,2,4,False,False,False,False
9594dd1c-f544-46bc-9fdb-79ea21ab50f6,RANKED_SOLO_5x5,GOLD,II,7bD5wncdUacathdXYg1HHXRBoPetv-i70dNWXhv8zVeRPpea,75,2,4,False,False,False,False
8083970d-a492-4589-8e9d-b1c284b00066,RANKED_SOLO_5x5,GOLD,II,1gpcsptEJ1ygv615JJ34OXV_BrB7kM29bj4dcujEjpsf,18,126,101,False,False,False,False
c45688c2-a4e4-4de9-a0df-4e070c17487e,RANKED_SOLO_5x5,GOLD,II,TBnBgx-u0fXjmY4ksD8hRIBH5s_yf1A0xm1OZzLpETXn,55,7,4,False,False,False,False
f3c5e1f4-7c62-49ed-b06b-b4b9bedef5e8,RANKED_SOLO_5x5,GOLD,II,gYBnbZg_XiGfW6bdIm1zJFhLGRykhe8peJ0HjgNCsi-X,12,17,7,False,False,False,True
75c2c92e-77e7-4822-afc9-cb73a153c5e2,RANKED_SOLO_5x5,GOLD,II,Gd2SIBKxt7z31FARjcopLFej7B07TiJLFCbhJHJ6aTuv,91,13,11,False,False,False,False
4114c635-5cb5-47c7-a4fb-3f27a7c1d7d4,RANKED_SOLO_5x5,GOLD,II,8l8fWz4QMav7NH2l2A12dE7D1S_k-5zUZgxM9-vqDbQMsUA,79,9,7,False,False,False,True
a6ba5ccf-b094-4fd8-8212-579bb97421e6,RANKED_SOLO_5x5,GOLD,II,vTZED1RM0dpcr1d9Xe5qS3TqJ7QiYhGPyUw_y4xKd2qqyDI,17,11,17,False,False,False,False
7f3ee88d-edd5-4913-9a48-a14c76ef7850,RANKED_SOLO_5x5,GOLD,II,6pCQlf0ByQgCjs1E9-Cv7zO6ApcqpYySoOzqr0wA5C3CAz4,30,7,5,False,False,False,False
442d0444-a0f0-4ab1-ba9e-823eb8431757,RANKED_SOLO_5x5,GOLD,II,5Mw9gFSDnfvCOtQH-mMOpsrHg5f-8KnU5z88CdHirFQHYv4,10,67,72,False,False,False,False
a7d48166-07e1-42d3-843d-026125368c3d,RANKED_SOLO_5x5,GOLD,II,6Mk1xKimGiFOj-fCCSLfRC8y774TZzzXcrsQX8MpRNOEUGY,95,15,7,False,False,False,False
04c2eb4b-1cd9-4b20-8c29-3d310ee20c8d,RANKED_SOLO_5x5,GOLD,II,ps-vdafznaP90ufsYoAkqiXeDufv1lfAXKGJiI_b2X4FVEM,30,5,3,False,False,False,False
77cb3002-7ac9-4991-a4be-211a2bdec54f,RANKED_SOLO_5x5,GOLD,II,NIteGvKTYIVJKmO63vq3M3EAa9rE_n8BHLp8OhKy1PuvRVk,35,31,27,False,False,False,False
8e746769-4866-4a01-ad78-e9b5d07e4495,RANKED_SOLO_5x5,GOLD,III,RPS1Hnb6cOt1rpaFsrjX3CiXKncR_xp95bKMko-mOTEBZYss,0,8,1,False,False,False,False
0840b97e-5af9-4083-99e2-a9907f36431b,RANKED_SOLO_5x5,GOLD,III,yMdbkQtdpH8FVaG6Jq5mn-8uFo64V1iZ0T12OpeMDV7-9DyR,27,2,3,False,False,False,False
2e405052-d313-46e8-9153-f73c88724841,RANKED_SOLO_5x5,GOLD,III,K3aY0ddKLGiIUCuy30wO3KJ8wWtycrnm8YYtCEK_2PA_ZJJi,16,3,5,False,False,False,False
4bb362c7-e774-4d6d-a14f-bd7846ccb8c4,RANKED_SOLO_5x5,GOLD,III,ksO0mesmMM9JHOYI1Z23eOQhH-I8RAkp_JzY5BdocDqaiiXf,69,4,4,False,False,False,False
51a39134-d920-40e6-a46b-783a07799fc7,RANKED_SOLO_5x5,GOLD,III,zj6myusjqn56DuE5ZZNK4n-Z3f1W-qAK0DL9zanpm7MvQd5q,5,7,4,False,False,False,False
ce3ff55b-0923-4611-b73e-6c2a5701c3dd,RANKED_SOLO_5x5,GOLD,III,Tf_WPJoyuJLs1EjxJXOguTsgkXIJhKnEQyqZZ3IyjdSv9taz,0,8,18,False,False,False,False
e350c73c-7404-4f95-b91a-8f01821920a0,RANKED_SOLO_5x5,GOLD,III,6FJrrT9i0jzOzOSPR0Fj7WLCzUmNtGPFITuPeRDFgZycKwLH,30,6,8,False,False,False,False
47a76b1b-e83d-4fda-91b8-c152cb05b324,RANKED_SOLO_5x5,GOLD,III,PDIHly2n24rmKamEJbbjEz_ODRGjKyrzJojEdjHxDEVMNAVJ,55,8,6,False,False,False,True
a7e0333c-b335-42ac-8ab1-c2b0f9a785f3,RANKED_SOLO_5x5,GOLD,III,dMhfuSiMT1ci6-03HrbgsUWl0brQyp_H3e2TAzcMDBEgP0vf,75,57,57,False,False,False,False
076d5f9a-8e72-4820-b5c4-92744f158603,RANKED_SOLO_5x5,GOLD,III,maEEq47JwAf3bJLvYQYJEzqvv0C1GlTrojZjNvQlP8U1PWRG,1,5,4,False,False,False,False
2aeb5c5d-921d-4c4a-a03d-91dda5ef8f12,RANKED_SOLO_5x5,GOLD,III,KTcySfSyBgTcsDlhrlxVZlfAncC2VXRUw3PWVNdXyP6dOwFa,17,33,26,False,False,False,False
5c164b0f-eb60-43bb-aa2d-e9c4a164bf9c,RANKED_SOLO_5x5,GOLD,III,Wwa17pwDD6KDMQafkVO_6TOzO_ueeuyjSUpQr1hrm_jSLqh9,4,33,29,False,False,False,False
e9b0cb2e-d959-4429-a880-ff3555abe9d8,RANKED_SOLO_5x5,GOLD,III,10u3HTmC-bChqH3Bc_t4f_0aSIKAGpTWzh-QtGUIIqQ8WD5R,34,23,14,False,False,False,False
3c57851b-bd11-4658-963c-df8c62051b49,RANKED_SOLO_5x5,GOLD,III,k5OvwSpXnyBOjMBLPFlt2IhDt83KJNhHvZ2gDUX7AjGe6-B0,72,65,67,False,False,False,False
4dc9e84e-33dd-4481-af92-e9102530535a,RANKED_SOLO_5x5,GOLD,III,lLfXisvz2YmbCF03SPGCJ2CRv_f-vmDJscHGf_VnP2UrcIJK,18,16,13,False,False,False,False
9594dd1c-f544-46bc-9fdb-79ea21ab50f6,RANKED_SOLO_5x5,GOLD,III,IcYGHCOoGCoPmWNHo9Po1CZ3vfiJGx0HZ1jrIZI-QwKn6-t7,23,22,17,False,False,False,False
3b8d03b8-4b95-4308-baad-09b3429fbae6,RANKED_SOLO_5x5,GOLD,III,0ZLETStqjGrQVbW5qzpixC21aYRY1GnP9vntaki5jzSkS6fB,87,19,27,False,False,False,False
c740ef04-3112-40dd-bf43-db57ad68e9dd,RANKED_SOLO_5x5,GOLD,III,QRIgD6Z0Nl8R10DAl0api_1ivq29fS5sqojuUWpqpVU0qS0P,27,19,13,False,False,False,False
3d391120-cbd9-4242-9791-89320034fdfa,RANKED_SOLO_5x5,GOLD,III,DpCqf0vWlDveiFB3gEO6cIb9xxxUl2jwhA8p2C9tubagYa6I,82,12,15,False,False,False,False
fa5fe617-3495-4f38-815a-d01136b97548,RANKED_SOLO_5x5,GOLD,III,Ng-KbOgPaYSAFK9i_PPxh4iJTFKubivYZb5_iKBqi67aKRNG,21,58,53,False,False,False,False
93c49f4c-edd0-47a9-b49c-d3b257c3a9ea,RANKED_SOLO_5x5,GOLD,III,fTpeBVSIs6DDDlRYrGAq81E7F__cg_wTZkRzd9luHM8N5N6l,24,2,3,False,False,False,False
575dbc9a-4ada-47e5-afbc-356ef07e7c8d,RANKED_SOLO_5x5,GOLD,III,2LtM185JDqbUjoymeJw1hi9m8LP5xBKroWUEKmaKNvhdXltq,54,31,25,False,False,False,False
51e0bb09-3dd9-4aa2-a4c4-8309c65fa6b8,RANKED_SOLO_5x5,GOLD,III,B9XlPRnHMbhYyuPy25YcGZu5PZKLRg76r_3X8nPCMTLJMTj5,77,19,21,False,False,False,False
e6e9a185-1bff-4074-9fb5-7ad188b4b6b7,RANKED_SOLO_5x5,GOLD,III,gHPtMrQEca3dnnIICw6S899pQA3sK2G5X0GikUaGO876B3A2,73,20,15,False,False,False,False
dcb00398-59e5-4532-809c-33b1cae361b0,RANKED_SOLO_5x5,GOLD,III,9ZVh7cXZcpzXNxTkK8RKbplWhjMUWdW9vRbic4mkMS__B5OB,21,2,10,False,False,False,False
8fd84d98-370a-4d59-afe1-026954765753,RANKED_SOLO_5x5,GOLD,III,5mQbvJ5ic4pp4f-QqFvXWiNxVBm3IUOulg0qhvyOyj-qXByc,98,14,9,False,False,False,False
f2026415-934a-437a-9f21-bc408bfd1c13,RANKED_SOLO_5x5,GOLD,III,bvNYtfi-SSO3IVtcNLXzyFnFGHjcdqJT1kU3xdRZDkdTkVqS,20,45,49,False,False,False,False
235407cf-20a2-402c-8fdc-5411c11825ac,RANKED_SOLO_5x5,GOLD,III,m4TGv9Ll8QVSfRkfvhV5hc7JJWNlNaxAIXAJ0w7JIN1NV58z,26,19,13,False,False,False,False
c7142182-2f35-4bfe-b32d-26b007d7fa05,RANKED_SOLO_5x5,GOLD,III,Y_PbsVE8eBS9MAL1p4QKOWNGtOKTbXiH8wr9vAkTkQ4Qgllc,89,5,4,False,False,False,False
b580f707-9126-4956-9950-9a11ddb8c62d,RANKED_SOLO_5x5,GOLD,III,OsHLbRVb53uRAeUlrb9tLIQl2p98l7My15dpToqWBrwI8uI4,37,2,3,False,False,False,False
3ae3276e-5ea5-4371-b12f-bce28d1d3881,RANKED_SOLO_5x5,GOLD,III,RfpvbcA76QCGzvjj7NNKWVvgYx0_0xiPZAI6FSypnelp4_yy,73,4,4,False,False,False,False
341a6d1c-d1e7-410d-9bb1-1df186946b2a,RANKED_SOLO_5x5,GOLD,III,1LWfRf8dCTPmBi7jWS_idsoq8FucY7RStLZfiTkXTp8x5Cv3,89,4,3,False,False,False,False
d3457955-58d8-4483-b0b6-34288e2804ad,RANKED_SOLO_5x5,GOLD,III,jL_wTgInTQcCFSOelMH_iyuub8T9ogxJAm-_9u9xUE-kBJDb,63,9,3,False,False,False,True
8514e088-0e1c-4248-a0e1-3cc3f5ee32bf,RANKED_SOLO_5x5,GOLD,III,p7N6tIFeAnCMk261_upaKh9po7OeFacigWLyTBtYdeAqnb94,94,5,13,False,False,False,False
0a1954fb-8c15-45eb-bdcf-3b241a992bd0,RANKED_SOLO_5x5,GOLD,IV,ilD8OKck82d8PUOjKe6ALJCRSGwvq5zhwqHCY6bQhWWmq8yk,71,62,54,False,False,False,False
16af8724-238c-4202-b2f6-c48b99cd53a9,RANKED_SOLO_5x5,GOLD,IV,GGHHT6NJmzbCcYVUMG-bZCCD1mJAMmkNXvzchgl3YwmGMJjK,22,18,21,False,False,False,False
589fd72d-5fee-4371-921c-dfd69139b61f,RANKED_SOLO_5x5,GOLD,IV,Vo1fQ7WXzPC-7YfQihwq-Fd58WPk5PdAsWslrcIIIzY7gACP,58,13,11,False,False,False,False
076d5f9a-8e72-4820-b5c4-92744f158603,RANKED_SOLO_5x5,GOLD,IV,u1-EgX6jtRcMZybQERPLjyMSZs5B0Gg-j7aupltxkho8Fo96,60,81,76,False,False,False,False
9fb8b2d4-e3e2-4afa-9240-c5a869c73afe,RANKED_SOLO_5x5,GOLD,IV,7vFq_4C2UA2P3vtDPCcu8-k1lGWu3dIm1YGKxzllCNGwDd0Q,35,11,12,False,False,False,False
