match_id,game_creation,game_duration,game_mode,game_type,game_version,map_id,participant_id,summoner_id,puuid,champion_id,spell1_id,spell2_id,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,total_damage_dealt,total_damage_taken,gold_earned,vision_score,total_minions_killed,team_position,win,game_creation_converted,days_diff
NA1_5068464936,1722317707350,2456,CLASSIC,MATCHED_GAME,14.14.603.4237,11,1,27e3ppC2YX1YRomMgqPJv3cUmkARZsKL4d-yzlNE0IdIVhqJ,rCj7vrcJ3AT8I81G-tn-mi7LmIRuosizW7drTrcnXtQUmy0hAdGc576W1j3n9F2WCIlnmusl4M4_wQ,555,,,3869,3179,3047,3142,6333,6695,3364,9,10,14,50338,36954,13780,87,53,UTILITY,False,2024-07-30 05:35:07.350,38
NA1_5068464936,1722317707350,2456,CLASSIC,MATCHED_GAME,14.14.603.4237,11,2,fM0c7U2hUrjsslX-q7aMK_mor4-HuG3JPPK1km4iMTY2JDI,AVikQPry471CmRFBL_niU9RhGCVr8RnfoxFtIECChNyx5qKJNTe6v_VQM2I73le36p0igcJc7Budug,119,,,3072,3031,3033,3172,6673,6695,3363,17,11,8,334851,27902,21667,17,255,BOTTOM,False,2024-07-30 05:35:07.350,38
NA1_5068464936,1722317707350,2456,CLASSIC,MATCHED_GAME,14.14.603.4237,11,3,Z3di1asxR6Fpp6DDj-CyzLG2WSBec9Igy6y6l2WZCSyahuA,YCt9dyhBYXUgJSq7L_38aGmmREe1laEUlyizUtc71EpsPb66yQzcK1cyFqVFD3rcVnerrvdluKvBPQ,62,,,3071,3077,3078,3047,3050,3053,3364,5,6,18,343173,61643,16967,51,76,JUNGLE,False,2024-07-30 05:35:07.350,38
NA1_5068464936,1722317707350,2456,CLASSIC,MATCHED_GAME,14.14.603.4237,11,4,GxecB83LJqIGzn9l7iueNf3NIv5P5FW3eztS9R_byb6YEqfvstEezB5YMg,UkS5gKe0GJp2sL70-gwAc8Pj_cKNJc0IP0cKgd5z5smqmiQqHjy4xu2AhPSIhu6_zn30ktAkOIxAeA,910,,,3137,2503,3040,3158,6653,3157,3363,6,8,12,333477,29283,17166,18,311,MIDDLE,False,2024-07-30 05:35:07.350,38
NA1_5068464936,1722317707350,2456,CLASSIC,MATCHED_GAME,14.14.603.4237,11,5,QPiMqUgE6I6j5LahRhX6iLo5kEkOVrTDY6Yajmb-pRMJxjuVIqK3Sy-MuQ,9-2pITOb-0K4NIUqPDw891pwi22Lg3YDIs5ShvahaT4hoyFehcIfKhjb0lN9GhzrCfZOxN7Yx5_hWg,23,,,3031,3074,3006,3046,3153,3036,3340,9,15,8,359251,87443,18231,31,255,TOP,False,2024-07-30 05:35:07.350,38
NA1_5068464936,1722317707350,2456,CLASSIC,MATCHED_GAME,14.14.603.4237,11,6,wPkCGnTi05R3OTlmT0SVmL08QOfWUHi7V_OVi2qVSn2HKAUFTbLJufgZ3A,AKYNh5PsjHI7fIF6OZGUjSxzcnvei8whR2LVUIQUauWVlvJY5sSPp0bVwoeuiD5gLmPSj-znsviCqg,39,,,3143,3153,3111,3091,3110,6333,3340,9,16,9,203026,56245,16859,30,244,MIDDLE,True,2024-07-30 05:35:07.350,38
NA1_5068464936,1722317707350,2456,CLASSIC,MATCHED_GAME,14.14.603.4237,11,7,zRtXwC8cN60xl2_JjiMYzKGWkQ_8anchJBeb4vo0OgYc19ix,2aXmDZLqyRqARqqPeBrMe7JwrDzU8lGiNF8TZ7Wm6_7O8Fx7i2dCsa48T5T60ywqFE3rg4kwQz6WMQ,25,,,3158,3871,2503,3157,4628,4642,3364,1,12,30,72504,37896,12921,91,52,UTILITY,True,2024-07-30 05:35:07.350,38
NA1_5068464936,1722317707350,2456,CLASSIC,MATCHED_GAME,14.14.603.4237,11,8,p1OPp6FPHSL-BpmibHh-IzZOjjvwa1RjXq1pGJYpdHeUTjw,PcOb2oV7Whqek2cgEQJ3e4eycb4hhZ4Pi-UQzsjoONXEFzbYBQOiZlJLwapqAk76bPFfPEY8_li-_A,77,,,3041,6653,3047,6665,3110,3065,3364,8,8,18,353113,48284,17712,36,61,JUNGLE,True,2024-07-30 05:35:07.350,38
NA1_5068464936,1722317707350,2456,CLASSIC,MATCHED_GAME,14.14.603.4237,11,9,pD_ImuRcVJY7omKtk_YRtVLKIalHxASS0Rmdq2wtS96e,8acLeM2FUFYZUHejjxi69X3KfNshH4TKv09wBQGIBLjyF0GKl4T4qiU7j4LKrGWcQDft-yE-dwzsuQ,36,,,3143,3075,3065,3083,3068,3047,3340,11,4,18,270520,99115,19186,39,253,TOP,True,2024-07-30 05:35:07.350,38
NA1_5068464936,1722317707350,2456,CLASSIC,MATCHED_GAME,14.14.603.4237,11,10,1ovq3MXhCMbERcX9NDjy6wH4gXul3Aea2rYkwhEOYsP3,yjqyR8f9e7K4BpIh2D35KFCMxfoLQkdak6rO9-eM547yTsoJyDRh1PrOzEV8hA0Yr7pEeZGV7MyJug,29,,,3033,3172,3153,3085,6676,3031,3363,21,6,7,319966,35353,23281,29,214,BOTTOM,True,2024-07-30 05:35:07.350,38
