match_id,puuid
NA1_5068464936,rCj7vrcJ3AT8I81G-tn-mi7LmIRuosizW7drTrcnXtQUmy0hAdGc576W1j3n9F2WCIlnmusl4M4_wQ
NA1_5069549670,AnNB63AHxR63qY1ftYURyMzqf7dXu86SqeKdmuF__e7Xsoj74gYRWy68spmPQJxvrFcQb7m515XzYA
NA1_5074300322,qbkES1f5QwZIdpQ6jLTnK7vxHjAsCZV4iGYtLuweumLQd4_jYqHc6o_o9CHf2KHMizZsqDExT943hg
NA1_5069830319,dWT1LzI9J7wO8DrhhxJtB30S2hdgw3WBVif6PENwNt1-nVQwfD6fzxLjUJqkO2O4PfDoDE_ew3_qew
NA1_5074939791,NEFjCDWzn6tFYYhLUoNw5amQRIoK1dx5STAruNbgVct-PxbkFDXJVGCHD6h3Tiq-bHFCB2jzOxE_cQ
NA1_5078501504,6IOjmETQ7eRL6-_sK6-aQ_bzrrSRUjvXGa6j_LeFH766XGdjJGywRvC-15L0ABnRKNQNFsWaYjzhpg
NA1_5075680223,WjFoz60M8Vg6I1xwAOCungN_iG5XjdI-NTNkx6qvxu4XH5QXjUdDWu5-jGJxKAwNZWcc-4zYch9DIw
NA1_5079450027,dWsPPisk499MJKFCQAFuqIFdU8Zd8hlT-EpGzHt1MJ_2hKDBFzXZ8842-Qs8jeWYxei3nT3tcvxNCg
NA1_5077153266,ouLXSMH1whxQZ9Lhf3gvcDYFKe43xuVgQcMBJrmmlr19c4Z_djiDBLcW_r6HPlHwR1ufvE8yQaKNiw
NA1_5079197452,jWnDr8pp88oGXrAjGePdy9azLOfIt6Lj6Q8teYSx9yOQREZLafufFmhLJ27RkxkuRBiZ3vr2xEu-Bg
NA1_5067164598,KUeAhP9N8rBUQZF7ZU6Z_o7mjR_2x5upUvcI-S2PeL_UN2dROj9IW6E34SfhNY-W5bPjGr6Oxl-c2Q
NA1_5071445263,cuorvm5rJSM-mqc2M9NXwGb_3Y4XZlgR7SRZnmYvNma9dhIaQ123C1LPdf869_H2T1lMnkF7H1zSog
NA1_5077631959,TuRyFaGpHxEg1IZ5eveExLuzb3nC8XVqwrSqa4bu7zFr46i4YoJtMG8nCiRn5Nb7-fmpEIXLDqSghg
NA1_5079114562,TpbzJeU3tn3CFjxh-P-JVP2hj1xurxs_PUIjpdud8oeUYUrvybcLLXBydgDxlD7oi8gXdZpzZ2tm0g
NA1_5079518965,k3E_3aEutWND-wA7HvqQm6ERHMPOma_UVgBKlh90lU9IUP9auMusSqvwhO2F5G_jHikequwsICXq_g
NA1_5071341095,2qkoaHrz1dWku8VAgEjblYaprBEqgewXzamCf1QdqyqjcMmdg9_EMkySrJqRq9xAOt8xq36ozlip_g
NA1_5064719105,i-evAxJz8dD6tz79lg6sj03XOnXRURr6qA9EQ2aLiBqztgNnmOAgSMgJWYhlJTpVGlVbbJSMJ9OP9g
NA1_5077007714,lxzESkpRotUk-EkgB0IFsX7__BJviEnsLJAa7hmAOJeZVtUZC-_2Gzt0bnLmRhjvPTIn7I8c17uh2Q
NA1_5070761897,EMY8rqd2ot6QFm1T4VgMVrLvajsR5qU72qxYK5_vAAwsdpZkzCJHagALrLeAa5HKpc0dll_mK6PUUg
NA1_5071171069,h_O0XDS8eed2ePoplU24kVGPxIV47c1saeFeraTpsq1cT3iPO6hp95WFXISBXYPrlZGYDb9-JCcePg
NA1_5068030657,4K8FJPOjTSTa9UlEU6WvflI04u5Hk20K0-qEz0bQbePIEKsSWzpmvpjI8zWBa_N61I77Lv_xDgqaOA
NA1_5067951956,5IMEoc21qtIT7_uiKbtq8UdyEPL9LC7eRdMuMY-_w1qoraAadqqyIM_B97HBQwX00IWqq8aiM_7Xbg
NA1_5078163336,ljjnGQ4zRbFRIMLOVbyvLxdXTqrehlK2NhczSCk2CccU-5WVdSU-LaSYXL6H5GLBVkr9Ta5KHCuShw
NA1_5073239950,6JzTsxiBaBr5oRZOD1s5m6_bdZP8jalDw97Ko5mTPj-vGL3bxYEvxqamFpRICVM0Yqad3SS6gsRhAQ
NA1_5076488287,Y6AinX3SpPsdTQ5KmFuirngt16JicqrYVk35U1PJ1VuIpMWHcbk5FCLJU9rS13QSMjgwXK6zTHtBkQ
NA1_5066641815,nxH-coOMO-b6IWEBuV5puZAPmn1IEoLnGRmOc3ZfwiK3vQT-nXV18y3Rb9XLXgmRUswhKvFBeBprsA
NA1_5075784469,FXkbO4C0RQ9cXrcHGpqZJxHp9scas5oaCfF13qndxeFnIlg9dYhsDZmXERkMZ5lLTjm98vziAWCGtQ
NA1_5069638862,ceGh6SWrn8m8F4AeXzziJGP0yX79iLTmLHGc63NQET5T5ir51cYK8rMRVoKz4U6yTcT2R5ba5rrZBQ
NA1_5078254613,WYMIIS-UbbqYUixcb9_RXD-OYUIk-Yxg1w3RJNDW4G4sl3vJfMEbKlyoav0-CBiZsl5L85qfrtPasg
NA1_5074706619,ZZ0qQbj3bgOwyUXJRJJsAPkEcb6939cytm7kBg-ZvecV49q8Sq3BH-dIPrnfcRIdJHPXe9aDwn6Ihg
NA1_5071012152,dqydPlrL-4H3gQ0Q3WQQI9YX6nfVLfyZS1cHId981Kai8Es-ViUQ4grMZTV-iNQClPD5s4qUoB3pDw
NA1_5064641499,H1Ohlp1aMHZVBr8CHhrD7TcawrnY6oNOL3aywTjIqvG8szmgEEkQ8P2n4LFPJ3Ql4ntVjkvdIU0CVg
